;CaseID;EntityName;DataSource;Status;Exception Details;ExceptionType;Confirmed/Not confirmed;Comment
0;0051533705-US-12998;Genworth Financial Inc.;NASDAQ;Successful;;;;
1;7853077480-TH-12971;Cummins DKSH (Thailand) Limited;Financial Times;Failed;No result found for Cummins DKSH (Thailand) Limited;BusinessException;;
2;4474474258-NL-12945;Celdomy Vastgoed B.V.;KVK;Successful;;;;
3;1450515056-MH-13072;Gemini Navigation Inc;Financial Times;Failed;No result found for Gemini Navigation Inc;BusinessException;;
4;5404524644-BE-13061;Bayer NV;Financial Times;Failed;No result found for Bayer NV;BusinessException;Confirmed;
5;1866847530-NL-13063;Bayer R&I B.V.;Euronext;Failed;No result found for Bayer R&I B.V.;BusinessException;Confirmed;
6;1866847530-NL-13063;Bayer R&I B.V.;AFM (Authority for the Financial Markets);Failed;No result found for Bayer R&I B.V.;BusinessException;;
7;1866847530-NL-13063;Bayer R&I B.V.;Financial Times;Failed;No result found for Bayer R&I B.V.;BusinessException;;
8;5542148320-DE-13062;adp Gauselmann GmbH;Deutsche Boerse;Failed;No result found for adp Gauselmann GmbH;BusinessException;;
9;5542148320-DE-13062;adp Gauselmann GmbH;Financial Times;Failed;No result found for adp Gauselmann GmbH;BusinessException;;
10;5542148320-DE-13062;adp Gauselmann GmbH;BaFin;Failed;No result found for adp Gauselmann GmbH;BusinessException;;
11;5542148320-DE-13062;adp Gauselmann GmbH;HandelsRegister;Successful;;;;
12;6563736422-NL-13060;Bayer Global Investments B.V.;Euronext;Failed;No result found for Bayer Global Investments B.V.;BusinessException;;
13;6563736422-NL-13060;Bayer Global Investments B.V.;KVK;Successful;;;;
14;6563736422-NL-13060;Bayer Global Investments B.V.;AFM (Authority for the Financial Markets);Failed;No result found for Bayer Global Investments B.V.;BusinessException;;
15;6563736422-NL-13060;Bayer Global Investments B.V.;Financial Times;Failed;No result found for Bayer Global Investments B.V.;BusinessException;;
16;3500765010-FR-13059;Pierburg Pump Technology France SARL;Infogreffe;Successful;;;;
17;3500765010-FR-13059;Pierburg Pump Technology France SARL;Euronext;Failed;No result found for Pierburg Pump Technology France SARL;BusinessException;;
18;3500765010-FR-13059;Pierburg Pump Technology France SARL;ACPR - Banque de France;Failed;ACPR_BanqueDeFrance_Entity Search: Results number is 0;BusinessException;;
19;3500765010-FR-13059;Pierburg Pump Technology France SARL;Financial Times;Failed;No result found for Pierburg Pump Technology France SARL;BusinessException;;
20;8654056060-CH-13058;Colombia Holdings GmbH;Companies House;Failed;CompaniesHouse_EntitySearch - Data unavailable for provided Entity Name;BusinessException;Confirmed;
21;3102317808-ID-10201;Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan;Financial Times;Failed;No result found for Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan;BusinessException;;
22;4131163783-ES-11905;Moonrise Investment SICAV S. A.;Financial Times;Failed;FinancialTimes_GatherEntityData - : Not able to find the Profile button;BusinessException;;
23;8435346684-ES-13057;Pierburg Sociedad Anonima;Financial Times;Failed;No result found for Pierburg Sociedad Anonima;BusinessException;;
24;0381824353-TH-6849;AIN GlobalComm Co. Ltd;Financial Times;Failed;No result found for AIN GlobalComm Co. Ltd;BusinessException;;
25;0611404213-DE-13056;ENERCON GmbH;Deutsche Boerse;Failed;No result found for ENERCON GmbH;BusinessException;;
26;0611404213-DE-13056;ENERCON GmbH;Financial Times;Failed;No result found for ENERCON GmbH;BusinessException;;
27;0611404213-DE-13056;ENERCON GmbH;BaFin;Failed;No result found for ENERCON GmbH;BusinessException;;
28;0611404213-DE-13056;ENERCON GmbH;HandelsRegister;Successful;;;;
29;8284025447-NL-13053;ABN AMRO Group N.V.;Euronext;Successful;;;;
30;8284025447-NL-13053;ABN AMRO Group N.V.;KVK;Successful;;;;
31;8284025447-NL-13053;ABN AMRO Group N.V.;AFM (Authority for the Financial Markets);Failed;No result found for ABN AMRO Group N.V.;BusinessException;;
32;8284025447-NL-13053;ABN AMRO Group N.V.;Financial Times;Failed;No result found for ABN AMRO Group N.V.;BusinessException;;
33;4218076452-US-13055;Monsanto Company;BrokerCheck;Failed;BrokerCheck_EntitySearch: No results found.;BusinessException;;
34;4218076452-US-13055;Monsanto Company;NASDAQ;Failed;Excel files with companies does not include given entity. No result found for Monsanto Company;BusinessException;;
35;4218076452-US-13055;Monsanto Company;IAPD;Failed;No result found for Monsanto Company;BusinessException;;
36;4218076452-US-13055;Monsanto Company;SEC/Edgar;Successful;;;;
37;4218076452-US-13055;Monsanto Company;Financial Times;Failed;No result found for Monsanto Company;BusinessException;;
38;1630281665-FR-13054;MS Motorservice France;Infogreffe;Successful;;;;
39;1630281665-FR-13054;MS Motorservice France;Euronext;Failed;No result found for MS Motorservice France;BusinessException;;
